CensusTract,State,County,Urban,Pop2010,OHU2010,LILATracts_1And10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LA1and20,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP05_10,LALOWI1_10,LALOWI05_10,lapop1,lapop1share,lapop10,lapop10share,lalowi10,lalowi10share,lapop20,lapop20share,lalowi20,lalowi20share,TractLOWI,TractHUNV
25001010100,Massachusetts,Barnstable County,1,2942,1765,0,0,0,1,11,77969,0,0,0,0,0,0,989,67,282,227,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,744,211
25001010206,Massachusetts,Barnstable County,0,2750,1366,0,0,0,1,10.5,75943,0,0,0,0,0,0,NULL,NULL,NULL,1690,61.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113,41
25001010208,Massachusetts,Barnstable County,0,2003,984,0,0,0,1,5.4,67477,0,0,0,0,0,0,NULL,NULL,NULL,2003,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,23
25001010304,Massachusetts,Barnstable County,1,2421,1179,0,0,0,0,4.4,102574,1,1,1,0,0,0,2378,318,366,2002,82.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,359,52
25001010306,Massachusetts,Barnstable County,1,2535,1209,1,1,0,1,9.9,71019,1,1,1,0,0,0,2535,491,491,2535,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481,20
25001010400,Massachusetts,Barnstable County,1,2999,1494,0,0,0,0,6.5,88162,1,1,1,0,0,0,1966,90,237,1139,37.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,501,34
25001010500,Massachusetts,Barnstable County,1,2891,1456,0,0,0,0,6.9,103542,1,1,1,0,0,1,2192,131,328,989,34.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,454,169
25001010600,Massachusetts,Barnstable County,1,2973,1536,0,0,0,0,7.5,102014,1,1,1,0,0,0,2593,203,457,1633,54.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,546,94
25001010700,Massachusetts,Barnstable County,1,3152,1549,0,0,0,0,10.5,110938,1,1,1,0,0,0,2931,488,596,2355,74.72,0,0,0,0,NULL,NULL,NULL,NULL,627,47
25001010800,Massachusetts,Barnstable County,1,4878,2164,0,0,0,0,5.9,79234,1,1,1,0,0,0,4586,687,811,3627,74.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,767,43
25001010900,Massachusetts,Barnstable County,1,4942,2219,0,0,0,0,4.4,87021,1,1,1,0,0,1,4511,462,623,3401,68.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,742,174
25001011002,Massachusetts,Barnstable County,1,4157,1800,0,0,0,0,5.5,90000,1,1,1,0,0,0,3736,533,749,2395,57.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,808,75
25001011100,Massachusetts,Barnstable County,1,4694,2102,0,0,0,0,4.7,98453,1,1,1,0,0,0,4453,442,528,3740,79.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,558,12
25001011200,Massachusetts,Barnstable County,1,3392,1721,0,0,0,0,8.9,101768,1,1,1,0,0,1,3133,738,908,2677,78.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,972,113
25001011300,Massachusetts,Barnstable County,1,2600,1293,0,0,0,0,5.6,91164,0,0,0,0,0,0,2009,68,312,428,16.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,34
25001011400,Massachusetts,Barnstable County,1,2991,1466,0,0,0,0,12.2,90542,1,1,1,0,0,0,2991,488,519,2841,94.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540,23
25001011500,Massachusetts,Barnstable County,1,4029,1808,1,1,0,1,13.4,75684,1,1,1,0,0,0,3625,622,1090,1837,45.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1137,68
25001011600,Massachusetts,Barnstable County,1,2710,1390,0,0,0,1,14.8,71739,0,0,0,0,0,0,1367,113,464,331,12.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,937,123
25001011700,Massachusetts,Barnstable County,1,1877,971,0,0,0,0,6.6,92292,1,1,1,0,0,0,1877,292,368,1420,75.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,347,90
25001011801,Massachusetts,Barnstable County,0,2403,1297,0,0,0,0,5.5,94200,0,0,0,0,0,0,NULL,NULL,NULL,911,37.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370,128
25001011802,Massachusetts,Barnstable County,1,4255,1895,0,0,0,0,7.5,79155,1,1,1,0,0,0,3536,494,938,2033,47.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1112,48
25001012001,Massachusetts,Barnstable County,1,5732,2715,1,1,0,1,6.4,71834,1,1,1,0,0,0,4933,338,974,1557,27.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,108
25001012002,Massachusetts,Barnstable County,1,3007,1494,0,0,0,1,9.5,61711,0,0,0,0,0,0,1285,43,257,227,7.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,607,118
25001012101,Massachusetts,Barnstable County,0,5339,2330,0,0,0,0,5,80217,0,0,0,0,0,0,NULL,NULL,NULL,3023,56.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110,76
25001012102,Massachusetts,Barnstable County,1,3057,1498,1,1,1,1,10.9,69659,1,1,1,0,0,1,2967,540,788,2157,70.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,805,205
25001012200,Massachusetts,Barnstable County,0,5046,2139,0,0,0,0,2.4,123750,0,0,0,0,0,0,NULL,NULL,NULL,4773,94.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,409,15
25001012502,Massachusetts,Barnstable County,1,3080,1440,1,1,1,1,15.5,68000,1,1,1,0,0,1,2924,888,1208,1949,63.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1513,189
25001012601,Massachusetts,Barnstable County,1,2877,1141,0,0,0,1,6.7,73958,0,0,0,0,0,0,1237,NULL,333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,822,134
25001012602,Massachusetts,Barnstable County,1,4915,1999,0,0,1,1,16.9,58607,0,0,0,0,0,1,3020,0,1402,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2258,171
25001012700,Massachusetts,Barnstable County,1,4562,2023,0,0,0,0,4.5,88591,1,1,1,0,0,0,3513,306,544,1575,34.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,656,28
25001012800,Massachusetts,Barnstable County,1,3923,1695,0,0,0,0,6.1,82813,1,1,1,0,0,0,3316,191,387,2202,56.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,536,95
25001012900,Massachusetts,Barnstable County,1,4135,1693,0,0,0,0,6.1,100222,1,1,1,0,0,0,4135,652,661,4081,98.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,621,0
25001013002,Massachusetts,Barnstable County,1,2899,1372,0,0,0,0,4.3,92763,1,1,1,0,0,0,2890,362,388,2707,93.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,375,75
25001013100,Massachusetts,Barnstable County,1,5935,2293,0,0,0,0,6.5,102306,1,1,1,0,0,0,5691,719,848,5161,86.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,817,16
25001013200,Massachusetts,Barnstable County,1,4783,1990,0,0,0,0,4.9,110080,1,1,1,0,0,0,4021,312,452,2874,60.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,534,13
25001013300,Massachusetts,Barnstable County,1,3218,1501,0,0,0,0,6.1,123952,1,1,1,0,0,0,2456,124,469,748,23.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,521,21
25001013400,Massachusetts,Barnstable County,1,4163,1583,0,0,0,0,3.7,108750,1,1,1,0,0,0,4163,409,409,4163,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,360,8
25001013500,Massachusetts,Barnstable County,1,6940,2494,0,0,0,0,4,121357,1,1,1,0,0,0,6582,432,520,5761,83.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,590,62
25001013600,Massachusetts,Barnstable County,1,6334,2198,0,0,0,0,3.1,113024,1,1,1,0,0,0,5842,889,1138,3970,62.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1309,55
25001013700,Massachusetts,Barnstable County,1,4911,1676,0,0,0,0,5.8,105301,1,1,1,0,0,0,4911,490,677,3534,71.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,598,74
25001013800,Massachusetts,Barnstable County,1,4840,1907,0,0,0,0,5.6,99318,1,1,1,0,0,0,4314,327,444,3005,62.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,484,98
25001013900,Massachusetts,Barnstable County,1,4831,2181,0,0,0,0,3.3,92000,1,1,1,0,0,0,4831,988,988,4831,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,983,27
25001014002,Massachusetts,Barnstable County,1,4053,1877,0,0,0,0,6,91068,1,1,1,0,0,1,4053,734,734,4053,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,809,149
25001014100,Massachusetts,Barnstable County,0,1141,226,0,0,0,1,7,44375,0,0,0,0,0,0,NULL,NULL,NULL,1141,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,349,0
25001014300,Massachusetts,Barnstable County,1,4384,1973,0,0,0,0,2.4,126063,1,1,1,0,0,0,3870,228,300,3292,75.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,336,12
25001014402,Massachusetts,Barnstable County,0,6947,2792,0,0,0,0,6.2,102986,0,0,0,0,0,0,NULL,NULL,NULL,5767,83.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,906,52
25001014500,Massachusetts,Barnstable County,1,5395,2169,1,1,0,1,8.3,70183,1,1,1,0,0,0,5395,1494,1755,4668,86.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1789,86
25001014600,Massachusetts,Barnstable County,1,4130,1797,0,0,0,0,3.3,79810,1,1,1,0,0,0,2971,317,690,1399,33.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,894,130
25001014700,Massachusetts,Barnstable County,1,3690,1749,1,1,0,1,7.2,73345,1,1,1,0,0,0,3260,237,743,971,26.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,722,51
25001014800,Massachusetts,Barnstable County,1,3387,1795,0,0,0,0,8.4,93616,0,0,0,0,0,0,928,NULL,162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1125,388
25001014900,Massachusetts,Barnstable County,1,3598,1794,0,0,0,0,5.8,109602,1,1,1,0,0,1,3596,369,647,2655,73.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,577,150
25001015001,Massachusetts,Barnstable County,1,4417,1730,0,0,0,0,6.1,87373,1,1,1,0,0,0,4417,833,906,4192,94.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,891,15
25001015002,Massachusetts,Barnstable County,1,3713,1732,1,1,1,1,5.7,64335,1,1,1,0,0,1,2977,430,952,1325,35.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1332,157
25001015100,Massachusetts,Barnstable County,1,3809,1648,0,0,0,0,8.9,103542,1,1,1,0,0,0,2798,178,408,1225,32.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,501,41
25001015200,Massachusetts,Barnstable County,0,2065,1007,0,0,0,0,4.7,112344,0,0,0,0,0,0,NULL,NULL,NULL,2061,99.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,373,22
25001015300,Massachusetts,Barnstable County,1,3038,1440,0,0,1,1,25.4,36250,0,0,0,0,0,1,1097,188,664,308,10.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1647,296
25003900100,Massachusetts,Berkshire County,1,3389,1920,0,0,0,1,31,23621,0,0,0,0,0,0,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2079,678
25003900200,Massachusetts,Berkshire County,1,4449,1968,0,0,0,1,17.3,37461,0,0,0,0,0,0,1656,NULL,908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2342,422
25003900300,Massachusetts,Berkshire County,1,2903,1211,0,0,0,1,11.9,74340,0,0,0,0,0,0,1678,11,507,36,1.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,773,80
25003900400,Massachusetts,Berkshire County,1,4862,2101,1,1,1,1,22,49356,1,1,1,0,0,1,4165,466,1321,2617,53.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2581,323
25003900500,Massachusetts,Berkshire County,0,3288,1318,0,0,0,0,5.4,86550,0,0,0,0,0,0,NULL,NULL,NULL,2298,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,643,54
25003900600,Massachusetts,Berkshire County,1,4117,1689,0,0,1,1,37.6,28594,0,0,0,0,0,1,1315,NULL,643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024,487
25003900700,Massachusetts,Berkshire County,1,2910,1192,1,1,0,1,9.4,69851,1,1,1,0,0,0,2782,582,812,2272,78.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,799,100
25003900800,Massachusetts,Berkshire County,1,4835,2060,0,0,0,0,4,105259,1,1,1,0,0,0,4676,446,478,4266,88.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,451,72
25003900900,Massachusetts,Berkshire County,1,5134,2325,1,1,0,1,8.2,77316,1,1,1,0,0,0,4008,99,722,1009,19.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1099,144
25003901100,Massachusetts,Berkshire County,1,3729,1647,0,0,0,0,6.8,79563,0,0,0,0,0,0,1955,6,399,26,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,592,92
25003911100,Massachusetts,Berkshire County,1,3091,1291,0,0,0,0,6.5,92250,1,1,1,0,0,0,2960,328,362,2645,85.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,352,0
25003912100,Massachusetts,Berkshire County,1,6756,2737,1,1,0,1,9.6,72417,1,1,1,0,0,0,6676,1139,1375,5492,81.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1278,80
25003913100,Massachusetts,Berkshire County,0,5025,2283,0,0,0,0,4.1,103482,0,0,0,0,0,1,NULL,NULL,NULL,2060,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,653,237
25003914100,Massachusetts,Berkshire County,1,5943,2560,0,0,0,0,5.7,81714,1,1,1,0,0,1,5328,621,996,3506,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1075,163
25003920101,Massachusetts,Berkshire County,1,4638,1604,0,0,0,0,9.2,115167,1,1,1,0,0,1,4292,471,600,3762,81.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,504,162
25003920102,Massachusetts,Berkshire County,0,3116,938,0,0,0,0,14.5,109118,0,0,0,0,0,0,NULL,NULL,NULL,1659,53.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,414,65
25003921300,Massachusetts,Berkshire County,1,5118,2029,1,1,1,1,18.9,57755,1,1,1,0,0,1,3248,478,1400,1129,22.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1676,428
25003921400,Massachusetts,Berkshire County,0,1699,770,0,0,0,1,24,45139,0,0,0,0,0,0,NULL,NULL,NULL,422,24.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,625,67
25003921500,Massachusetts,Berkshire County,1,3100,1346,1,1,1,1,15.1,55474,1,1,1,0,0,1,2389,371,981,902,29.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1212,153
25003922100,Massachusetts,Berkshire County,1,2680,1339,0,0,0,1,11.5,50521,0,0,0,0,0,0,437,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,821,201
25003922200,Massachusetts,Berkshire County,1,3689,1668,1,1,1,1,18.5,69056,1,1,1,0,0,1,3280,269,899,951,25.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,942,125
25003922300,Massachusetts,Berkshire County,1,2116,900,1,1,0,1,4.1,69821,1,1,1,0,0,0,1894,154,382,791,37.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,429,37
25003923100,Massachusetts,Berkshire County,1,3235,1403,1,1,0,1,4.4,76629,1,1,1,0,0,0,3202,446,502,2963,91.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,485,44
25003924100,Massachusetts,Berkshire County,0,1947,919,0,0,0,0,12.3,86250,0,0,0,0,0,0,NULL,NULL,NULL,1917,98.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,692,53
25003925100,Massachusetts,Berkshire County,1,7104,2879,0,0,0,0,9.5,89796,1,1,1,0,0,1,5078,1107,1455,3580,50.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1586,319
25003926100,Massachusetts,Berkshire County,0,3257,1424,0,0,0,0,8.2,84167,0,0,0,0,0,0,NULL,NULL,NULL,3257,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,684,44
25003931100,Massachusetts,Berkshire County,0,1702,675,0,0,0,1,9.1,77019,0,0,0,0,0,0,NULL,NULL,NULL,1466,86.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327,17
25003931300,Massachusetts,Berkshire County,0,1444,606,0,0,0,1,10.1,66346,0,0,0,0,0,0,NULL,NULL,NULL,1444,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,420,25
25003931400,Massachusetts,Berkshire County,0,1746,705,0,0,0,0,5.7,84896,0,0,0,0,0,0,156,20,20,1746,100,156,8.91,20,1.14,NULL,NULL,NULL,NULL,243,7
25003932200,Massachusetts,Berkshire County,0,2317,988,0,0,0,0,6.4,84655,0,0,0,0,0,0,293,51,51,2317,100,293,12.64,51,2.19,NULL,NULL,NULL,NULL,420,11
25003932300,Massachusetts,Berkshire County,0,2032,868,0,0,0,0,6.7,79525,0,0,0,0,0,0,NULL,NULL,NULL,2032,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,16
25003933200,Massachusetts,Berkshire County,0,1288,564,0,0,0,0,10.5,101875,0,0,0,0,0,0,NULL,NULL,NULL,1288,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,225,7
25003933300,Massachusetts,Berkshire County,0,1509,630,0,0,0,0,3.7,95156,0,0,0,0,0,0,0,0,0,1509,100,0,0,0,0,NULL,NULL,NULL,NULL,185,9
25003933400,Massachusetts,Berkshire County,0,2527,1085,0,0,0,0,8.1,86875,1,0,0,1,0,0,1737,365,365,2527,100,1737,68.75,365,14.45,NULL,NULL,NULL,NULL,452,22
25003934200,Massachusetts,Berkshire County,0,1306,593,0,0,0,0,6.5,92417,0,0,0,0,0,0,NULL,NULL,NULL,1306,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220,18
25003934300,Massachusetts,Berkshire County,0,1886,860,0,0,0,1,6,76950,0,0,0,0,0,0,NULL,NULL,NULL,1886,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,389,13
25003935100,Massachusetts,Berkshire County,0,2420,1051,0,0,0,0,5.3,103603,0,0,0,0,0,0,NULL,NULL,NULL,2420,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,285,23
25003935200,Massachusetts,Berkshire County,1,5121,2222,0,0,0,0,10.3,88267,1,1,1,0,0,1,4498,397,976,2111,41.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1160,163
25003935300,Massachusetts,Berkshire County,1,3791,1723,0,0,1,1,16,68375,0,0,0,0,0,1,2312,63,569,352,9.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1334,349
25005600100,Massachusetts,Bristol County,1,3920,1568,0,0,0,0,6.1,123534,1,1,1,0,0,1,3920,441,441,3920,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,434,143
25005600202,Massachusetts,Bristol County,1,4481,1912,0,0,0,0,3,94607,1,1,1,0,0,0,4478,552,560,4396,98.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,671,29
25005600203,Massachusetts,Bristol County,1,5611,1938,0,0,0,0,5.2,145559,1,1,1,0,0,0,4717,296,488,3233,57.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,639,4
25005600204,Massachusetts,Bristol County,1,3895,1318,0,0,0,0,2.7,130568,1,1,1,0,0,0,3162,232,377,1796,46.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,447,17
25005610100,Massachusetts,Bristol County,1,5103,2189,0,0,0,0,3,112939,1,1,1,0,0,1,3946,137,499,1021,20.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,798,255
25005610202,Massachusetts,Bristol County,1,5586,1847,0,0,0,0,3.2,133214,1,1,1,0,0,0,5375,376,426,4980,89.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,461,78
25005610203,Massachusetts,Bristol County,1,6883,2334,0,0,0,0,2.2,149688,1,1,1,0,0,0,6883,208,233,6334,92.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,241,17
25005610204,Massachusetts,Bristol County,1,5612,2029,0,0,0,0,3.6,138594,1,1,1,0,0,1,5612,808,848,5440,96.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,878,115
25005611101,Massachusetts,Bristol County,1,4585,1676,0,0,0,0,5.5,121920,1,1,1,0,0,0,4585,513,513,4585,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,603,50
25005611102,Massachusetts,Bristol County,0,5047,1307,0,0,0,0,9,145880,0,0,0,0,0,0,NULL,NULL,NULL,4873,96.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,609,82
25005611201,Massachusetts,Bristol County,1,3003,1042,0,0,0,0,7.8,123500,1,1,1,0,0,0,3003,369,369,3003,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,352,11
25005611202,Massachusetts,Bristol County,1,6396,2391,0,0,0,0,4.6,114563,1,1,1,0,0,0,5571,472,591,4775,74.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,679,49
25005612100,Massachusetts,Bristol County,1,4538,1640,0,0,0,0,7.7,112237,1,1,1,0,0,0,4201,568,705,3350,73.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,779,74
25005612200,Massachusetts,Bristol County,1,8845,3235,0,0,0,0,3.6,125298,1,1,1,0,0,0,7970,609,791,5890,66.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870,31
25005613100,Massachusetts,Bristol County,1,6327,2620,0,0,0,0,7.3,89375,1,1,1,0,0,0,5404,562,1126,3189,50.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1525,62
25005613300,Massachusetts,Bristol County,1,7201,2650,0,0,0,0,7.1,94034,1,1,1,0,0,1,6545,682,837,5650,78.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,930,179
25005613400,Massachusetts,Bristol County,0,3812,1379,0,0,0,0,13.1,97955,0,0,0,0,0,0,NULL,NULL,NULL,1865,48.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,982,34
25005613600,Massachusetts,Bristol County,1,3771,1568,0,0,1,1,15.8,58516,0,0,0,0,0,1,3558,0,1365,0,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1501,212
25005613700,Massachusetts,Bristol County,1,4369,1844,0,0,1,1,14,64474,0,0,0,0,0,1,4124,NULL,1316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1303,163
25005613800,Massachusetts,Bristol County,1,4519,2130,0,0,1,1,30.6,31635,0,0,0,0,0,1,2086,NULL,1201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2671,598
25005613901,Massachusetts,Bristol County,1,2801,1260,0,0,1,1,22.4,54263,0,0,0,0,0,1,1541,NULL,625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,867,147
25005613902,Massachusetts,Bristol County,1,4751,1868,1,1,0,1,9.2,76347,1,1,1,0,0,0,4373,547,1142,2044,43.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1241,62
25005614000,Massachusetts,Bristol County,1,4472,1796,0,0,1,1,31.4,40031,0,0,0,0,0,1,4045,221,2200,400,8.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2631,412
25005614101,Massachusetts,Bristol County,1,6833,2724,0,0,0,0,6.9,86008,1,1,1,0,0,1,3155,234,826,669,9.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1792,311
25005614102,Massachusetts,Bristol County,1,7018,2493,0,0,0,0,8.5,100102,1,1,1,0,0,1,6851,1427,1525,6413,91.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1478,118
25005615100,Massachusetts,Bristol County,0,7086,2472,0,0,0,0,3.3,103023,0,0,0,0,0,0,NULL,NULL,NULL,7086,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1135,28
25005616100,Massachusetts,Bristol County,0,6411,2109,0,0,0,0,1.9,105833,0,0,0,0,0,0,NULL,NULL,NULL,6296,98.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,857,16
25005617101,Massachusetts,Bristol County,0,4681,1665,0,0,0,0,6.5,110052,0,0,0,0,0,0,NULL,NULL,NULL,4681,99.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,664,13
25005617102,Massachusetts,Bristol County,0,4189,1497,0,0,0,0,4.4,93333,0,0,0,0,0,0,NULL,NULL,NULL,4189,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,613,37
25005630101,Massachusetts,Bristol County,1,2855,1246,0,0,0,1,19.2,73750,0,0,0,0,0,0,1255,15,343,114,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1237,108
25005630102,Massachusetts,Bristol County,1,4201,1897,0,0,0,0,10.4,90917,0,0,0,0,0,0,1985,NULL,512,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1010,92
25005630200,Massachusetts,Bristol County,1,8204,2763,0,0,0,0,8.1,121369,1,1,1,0,0,0,7496,667,1081,4931,60.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1280,104
25005630300,Massachusetts,Bristol County,1,8597,3064,0,0,0,0,5.5,125308,1,1,1,0,0,1,6388,373,872,2687,31.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1317,158
25005630400,Massachusetts,Bristol County,1,4855,1973,0,0,0,0,5,125500,1,1,1,0,0,0,3195,62,212,1109,22.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,402,72
25005631100,Massachusetts,Bristol County,1,8093,3210,1,1,1,1,6.9,68243,1,1,1,0,0,1,5776,296,1088,1767,21.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1534,169
25005631200,Massachusetts,Bristol County,1,6841,2617,0,0,0,0,5.5,106714,1,1,1,0,0,1,6274,605,837,2782,40.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,994,135
25005631300,Massachusetts,Bristol County,1,5183,2023,0,0,0,0,4,109485,1,1,1,0,0,0,4005,52,541,816,15.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,641,94
